id,adapter_id,arrival,first_token,finish,n_input_tokens,n_output_tokens,cache_hit,acquire_ms
req_00002,reasoning,3.569682,5.591183,9.470181,44,19,0,61.159115
req_00003,reasoning,3.905478,5.591183,12.514643,48,24,0,61.159115
req_00004,reasoning,4.701510,10.835191,17.189701,48,24,1,0.000000
req_00005,reasoning,4.740453,13.405384,20.222927,49,24,1,0.000000
req_00001,hebrew,1.479919,21.878213,26.407493,43,24,0,62.487761
req_00007,hebrew,4.819692,21.878213,26.407493,44,24,0,62.487761
req_00000,summary,1.366023,2.282269,28.353653,48,24,0,73.204635
req_00009,summary,8.235484,27.358409,39.189984,46,24,0,55.983906
req_00010,summary,9.446263,29.717717,41.064529,49,24,1,0.000000
req_00006,reasoning,4.801185,18.543848,45.722588,48,24,1,0.000000
req_00008,hebrew,7.753140,47.579649,60.420125,44,24,0,66.579532
req_00013,hebrew,12.063461,47.579649,60.420125,78,24,0,66.579532
req_00012,reasoning,11.470383,42.020550,61.970078,44,24,0,57.765312
req_00011,summary,10.517547,40.075909,72.885304,42,24,1,0.000000
req_00014,reasoning,13.282043,61.371222,84.905400,41,24,0,59.172396
req_00016,summary,13.995907,63.394959,86.809174,48,24,0,57.968073
req_00017,reasoning,14.220785,74.293300,89.899621,41,24,0,57.608438
req_00019,reasoning,14.767301,88.214146,94.551061,46,24,0,54.780312
req_00015,hebrew,13.850854,96.176938,100.677843,42,24,0,55.173907
req_00021,hebrew,16.078093,96.176938,100.677843,44,24,0,55.173907
req_00020,reasoning,15.580883,90.780892,104.879796,46,24,1,0.000000
req_00018,summary,14.236011,85.842811,115.803087,44,24,0,52.862709
req_00022,reasoning,17.918070,102.881256,119.855888,48,24,0,59.277864
req_00023,reasoning,19.421444,102.881256,119.855888,42,24,0,59.277864
req_00024,summary,19.853743,106.299274,124.078835,49,24,0,55.434583
req_00025,hebrew,19.983964,125.870222,130.409809,78,24,0,59.183750
req_00026,hebrew,21.286267,125.870222,130.409809,44,24,0,59.183750
req_00027,summary,21.474434,121.277726,137.181051,43,24,0,58.846250
req_00028,summary,22.003121,132.172535,138.372829,49,24,0,62.318229
req_00029,summary,23.630988,132.172535,138.372829,46,24,0,62.318229
req_00030,reasoning,23.871672,140.019062,144.544380,48,24,0,57.014583
req_00031,reasoning,23.910410,140.019062,144.544380,48,24,0,57.014583
req_00032,hebrew,24.090156,146.186376,150.749905,44,24,0,56.607240
req_00033,hebrew,24.156017,146.186376,150.749905,44,24,0,56.607240
req_00035,reasoning,25.996401,153.271176,168.526992,43,24,0,63.025312
req_00036,reasoning,27.571691,153.271176,168.526992,48,24,0,63.025312
req_00037,reasoning,29.005242,153.271176,168.526992,48,24,0,63.025312
req_00038,reasoning,29.297379,170.103401,174.681586,41,24,1,0.000000
req_00039,reasoning,29.788248,170.103401,174.681586,41,24,1,0.000000
req_00034,summary,24.822238,175.530888,177.691789,43,24,0,55.818802
req_00040,hebrew,29.958369,178.531821,180.719268,41,24,0,53.258959
