id,adapter_id,arrival,first_token,finish,n_input_tokens,n_output_tokens,cache_hit,acquire_ms
req_00002,reasoning,3.569682,5.575523,9.316640,44,19,0,62.375573
req_00003,reasoning,3.905478,5.575523,12.348241,48,24,0,62.375573
req_00004,reasoning,4.701510,10.664188,17.006582,48,24,1,0.000000
req_00005,reasoning,4.740453,13.237430,20.043454,49,24,1,0.000000
req_00001,hebrew,1.479919,21.700754,26.224998,43,24,0,58.968385
req_00007,hebrew,4.819692,21.700754,26.224998,44,24,0,58.968385
req_00000,summary,1.366023,2.277183,28.160752,48,24,0,70.549688
req_00009,summary,8.235484,27.173287,38.965574,46,24,0,55.250208
req_00010,summary,9.446263,29.513666,40.836893,49,24,1,0.000000
req_00006,reasoning,4.801185,18.361483,45.503801,48,24,1,0.000000
req_00008,hebrew,7.753140,47.367322,60.177858,44,24,0,65.469792
req_00013,hebrew,12.063461,47.367322,60.177858,78,24,0,65.469792
req_00012,reasoning,11.470383,41.789486,61.711393,44,24,0,61.929271
req_00011,summary,10.517547,39.853731,72.693397,42,24,1,0.000000
req_00014,reasoning,13.282043,61.123838,84.677346,41,24,0,56.381459
req_00016,summary,13.995907,63.203759,86.621541,48,24,0,121.295364
req_00017,reasoning,14.220785,74.081161,89.741740,41,24,0,55.210625
req_00019,reasoning,14.767301,88.062610,94.359884,46,24,0,66.862500
req_00015,hebrew,13.850854,96.019205,100.575145,42,24,0,59.770729
req_00021,hebrew,16.078093,96.019205,100.575145,44,24,0,59.770729
req_00020,reasoning,15.580883,90.633452,104.746585,46,24,1,0.000000
req_00018,summary,14.236011,85.620847,115.641073,44,24,0,58.658073
req_00022,reasoning,17.918070,102.767361,119.603994,48,24,0,53.009635
req_00023,reasoning,19.421444,102.767361,119.603994,42,24,0,53.009635
req_00024,summary,19.853743,106.161905,123.889976,49,24,0,54.245677
req_00025,hebrew,19.983964,125.669906,130.227874,78,24,0,58.774428
req_00026,hebrew,21.286267,125.669906,130.227874,44,24,0,58.774428
req_00027,summary,21.474434,121.085453,137.020918,43,24,0,59.735104
req_00028,summary,22.003121,131.975247,138.208383,49,24,0,57.356041
req_00029,summary,23.630988,131.975247,138.208383,46,24,0,57.356041
req_00030,reasoning,23.871672,139.840803,144.396053,48,24,0,56.403698
req_00031,reasoning,23.910410,139.840803,144.396053,48,24,0,56.403698
req_00032,hebrew,24.090156,146.039213,150.560945,44,24,0,59.450573
req_00033,hebrew,24.156017,146.039213,150.560945,44,24,0,59.450573
req_00035,reasoning,25.996401,153.078578,168.275487,43,24,0,58.569844
req_00036,reasoning,27.571691,153.078578,168.275487,48,24,0,58.569844
req_00037,reasoning,29.005242,153.078578,168.275487,48,24,0,58.569844
req_00038,reasoning,29.297379,169.845573,174.370132,41,24,1,0.000000
req_00039,reasoning,29.788248,169.845573,174.370132,41,24,1,0.000000
req_00034,summary,24.822238,175.216914,177.367564,43,24,0,54.605052
req_00040,hebrew,29.958369,178.219412,180.373972,41,24,0,58.257343
