id,adapter_id,arrival,first_token,finish,n_input_tokens,n_output_tokens,cache_hit,acquire_ms
req_00002,reasoning,3.569682,5.719002,9.512722,44,19,0,157.305000
req_00003,reasoning,3.905478,5.719002,12.529516,48,24,0,157.305000
req_00004,reasoning,4.701510,10.860807,17.189910,48,24,1,0.000000
req_00005,reasoning,4.740453,13.425492,20.237935,49,24,1,0.000000
req_00001,hebrew,1.479919,21.961546,26.501832,43,24,0,71.240000
req_00007,hebrew,4.819692,21.961546,26.501832,44,24,0,71.240000
req_00000,summary,1.366023,2.325365,28.672777,48,24,0,119.743386
req_00009,summary,8.235484,27.504606,38.948289,46,24,0,59.217291
req_00010,summary,9.446263,30.026041,41.033347,49,24,1,0.000000
req_00006,reasoning,4.801185,18.553886,45.799439,48,24,1,0.000000
req_00008,hebrew,7.753140,47.717932,60.538561,44,24,0,60.228125
req_00013,hebrew,12.063461,47.717932,60.538561,78,24,0,60.228125
req_00012,reasoning,11.470383,42.036125,62.070040,44,24,0,56.043229
req_00011,summary,10.517547,39.836951,72.502425,42,24,1,0.000000
req_00014,reasoning,13.282043,61.488653,84.541662,41,24,1,0.000000
req_00016,summary,13.995907,63.562616,86.663458,48,24,0,60.589114
req_00017,reasoning,14.220785,73.937044,89.805860,41,24,1,0.000000
req_00019,reasoning,14.767301,88.121579,94.487145,46,24,1,0.000000
req_00015,hebrew,13.850854,96.188127,100.724756,42,24,0,59.079740
req_00021,hebrew,16.078093,96.188127,100.724756,44,24,0,59.079740
req_00020,reasoning,15.580883,90.694209,104.896957,46,24,1,0.000000
req_00018,summary,14.236011,85.488283,115.326633,44,24,1,0.000000
req_00022,reasoning,17.918070,102.937574,119.379388,48,24,1,0.000000
req_00023,reasoning,19.421444,102.937574,119.379388,42,24,1,0.000000
req_00024,summary,19.853743,106.409334,124.154833,49,24,0,59.025625
req_00025,hebrew,19.983964,126.013218,130.605910,78,24,0,63.452031
req_00026,hebrew,21.286267,126.013218,130.605910,44,24,0,63.452031
req_00027,summary,21.474434,120.800516,137.154415,43,24,1,0.000000
req_00028,summary,22.003121,132.395373,138.573902,49,24,1,0.000000
req_00029,summary,23.630988,132.395373,138.573902,46,24,1,0.000000
req_00030,reasoning,23.871672,140.282001,144.887265,48,24,0,59.671667
req_00031,reasoning,23.910410,140.282001,144.887265,48,24,0,59.671667
req_00032,hebrew,24.090156,146.584228,151.133707,44,24,0,57.069219
req_00033,hebrew,24.156017,146.584228,151.133707,44,24,0,57.069219
req_00035,reasoning,25.996401,153.718910,168.851083,43,24,1,0.000000
req_00036,reasoning,27.571691,153.718910,168.851083,48,24,1,0.000000
req_00037,reasoning,29.005242,153.718910,168.851083,48,24,1,0.000000
req_00038,reasoning,29.297379,170.435152,175.025147,41,24,1,0.000000
req_00039,reasoning,29.788248,170.435152,175.025147,41,24,1,0.000000
req_00034,summary,24.822238,175.932401,178.179110,43,24,0,55.702344
req_00040,hebrew,29.958369,179.086999,181.271077,41,24,0,62.830364
